date,revenue,usdValue,active_gpu_capacity,available_gpu,active_leases,staked_compute_providers,daily_earnings_usd,protocol_earnings_usd,active_provider_count,gpu_utilization,total_daily_earnings_usd
2024-11-09 00:00:00.000,2318576.633905949,121625.4285693008,,,,,,,,0.0,121625.4285693008
2024-11-10 00:00:00.000,2020830.658950679,115668.2648784863,,,,,,,,0.0,115668.2648784863
2024-11-11 00:00:00.000,2191864.638973439,124690.9112216944,,,,,,,,0.0,124690.9112216944
2024-11-12 00:00:00.000,2765620.413183689,169577.5628133373,,,,,,,,0.0,169577.5628133373
2024-11-13 00:00:00.000,2080731.711943299,140359.5985762309,,,,,,,,0.0,140359.5985762309
2024-11-14 00:00:00.000,2080731.711943299,125450.1516498217,,,,,,,,0.0,125450.1516498217
2024-11-15 00:00:00.000,2080731.711943299,119116.5075252583,,,,,,,,0.0,119116.5075252583
2024-11-16 00:00:00.000,2080731.711943299,125021.38908105,,,,,,,,0.0,125021.38908105
2024-11-17 00:00:00.000,2394233.509778428,146070.3303281013,,,,,,,,0.0,146070.3303281013
2024-11-18 00:00:00.000,875091.6129073398,52475.23214138934,,,,,,,,0.0,52475.23214138934
2024-11-19 00:00:00.000,2546541.81350422,165402.6320518235,,,,,,,,0.0,165402.6320518235
2024-11-20 00:00:00.000,1483888.89254206,94116.16797952769,,,,,,,,0.0,94116.16797952769
2024-11-21 00:00:00.000,1483888.89254206,87811.95141309475,,,,,,,,0.0,87811.95141309475
2024-11-22 00:00:00.000,1641958.98266239,98537.9384807862,,,,,,,,0.0,98537.9384807862
2024-11-23 00:00:00.000,4029702.6042028,237188.4690588531,,,,,,,,0.0,237188.4690588531
2024-11-24 00:00:00.000,1494161.46836083,88498.1058469345,,,,,,,,0.0,88498.1058469345
2024-11-25 00:00:00.000,1495766.81953141,91056.44594697666,,,,,,,,0.0,91056.44594697666
2024-11-26 00:00:00.000,1574275.84202251,92815.62357858296,,,,,,,,0.0,92815.62357858296
2024-11-27 00:00:00.000,1035033.68576544,60094.8232449085,,,,,,,,0.0,60094.8232449085
2024-11-28 00:00:00.000,2196440.27231917,134091.0680388665,,,,,,,,0.0,134091.0680388665
2024-11-29 00:00:00.000,2000616.43835029,134646.7126358599,,,,,,,,0.0,134646.7126358599
2024-11-30 00:00:00.000,4709318.62901354,309683.2907794241,,,,,,,,0.0,309683.2907794241
2024-12-01 00:00:00.000,2557033.017149481,194507.151554848,,,,,,,,0.0,194507.151554848
2024-12-02 00:00:00.000,2604419.44782794,198508.9338488555,,,,,,,,0.0,198508.9338488555
2024-12-03 00:00:00.000,3121620.92667603,230020.6172467651,,,,,,,,0.0,230020.6172467651
2024-12-04 00:00:00.000,6420483.81125715,460067.2616182704,,,,,,,,0.0,460067.2616182704
2024-12-05 00:00:00.000,2455853.80560905,178558.951706721,,,,,,,,0.0,178558.951706721
2024-12-06 00:00:00.000,3179476.29239993,241001.6382372541,,,,,,,,0.0,241001.6382372541
2024-12-07 00:00:00.000,6522213.254140999,530996.9227611038,,,,,,,,0.0,530996.9227611038
2024-12-08 00:00:00.000,2215432.62500342,179849.1037554225,,,,,,,,0.0,179849.1037554225
2024-12-09 00:00:00.000,2527470.13136431,224954.1693353882,,,,,,,,0.0,224954.1693353882
2024-12-10 00:00:00.000,3880248.980801681,295735.9067396117,,,,,,,,0.0,295735.9067396117
2024-12-11 00:00:00.000,2497635.41569542,188599.5945947816,,,,,,,,0.0,188599.5945947816
2024-12-12 00:00:00.000,3933300.28403269,322496.9450474019,,,,,,,,0.0,322496.9450474019
2024-12-13 00:00:00.000,3376885.89756859,279783.0278923424,,,,,,,,0.0,279783.0278923424
2024-12-14 00:00:00.000,2976836.997960129,239497.2851981384,,,,,,,,0.0,239497.2851981384
2024-12-15 00:00:00.000,2463573.05666031,191749.3210763831,,,,,,,,0.0,191749.3210763831
2024-12-16 00:00:00.000,2741349.688599331,228685.7997209785,,,,,,,,0.0,228685.7997209785
2024-12-17 00:00:00.000,2537869.545718411,199115.3408365409,,,,,,,,0.0,199115.3408365409
2024-12-18 00:00:00.000,2562788.91743874,193244.8929820244,,,,,,,,0.0,193244.8929820244
2024-12-19 00:00:00.000,2691225.94684847,190315.4399870117,,,,,,,,0.0,190315.4399870117
2024-12-20 00:00:00.000,2570982.78094894,181052.1233207887,,,,,,,,0.0,181052.1233207887
2024-12-21 00:00:00.000,8552462.324928708,635941.3816536193,,,,,,,,0.0,635941.3816536193
2024-12-22 00:00:00.000,2475824.46794716,170216.7246109796,,,,,,,,0.0,170216.7246109796
2024-12-23 00:00:00.000,2787550.09982106,186739.0590671779,,,,,,,,0.0,186739.0590671779
2024-12-24 00:00:00.000,2338918.82757938,172886.66439496,,,,,,,,0.0,172886.66439496
2024-12-25 00:00:00.000,3399846.574991131,256540.0734528889,,,,,,,,0.0,256540.0734528889
2024-12-26 00:00:00.000,2775217.77272174,209377.6189452169,,,,,,,,0.0,209377.6189452169
2024-12-27 00:00:00.000,2781102.776461569,189324.1305387427,,,,,,,,0.0,189324.1305387427
2024-12-28 00:00:00.000,3258738.95955716,215104.418521663,,,,,,,,0.0,215104.418521663
2024-12-29 00:00:00.000,2755832.55709041,185039.3262320659,,,,,,,,0.0,185039.3262320659
2024-12-30 00:00:00.000,2835752.967155499,181278.7650813426,,,,,,,,0.0,181278.7650813426
2024-12-31 00:00:00.000,3948481.158429639,249017.5048522011,,,,,,,,0.0,249017.5048522011
2025-01-01 00:00:00.000,4312190.538750379,265272.2924778244,,,,,,,,0.0,265272.2924778244
2025-01-02 00:00:00.000,3399086.300647937,215433.3258552533,,,,,,,,0.0,215433.3258552533
2025-01-03 00:00:00.000,7959951.785936389,544900.4878763615,,,,,,,,0.0,544900.4878763615
2025-01-04 00:00:00.000,3662459.909072659,261455.0901206274,,,,,,,,0.0,261455.0901206274
2025-01-05 00:00:00.000,3094088.22130808,230890.35098637,,,,,,,,0.0,230890.35098637
2025-01-05 18:12:42.713,,,584.0,170.0,1053.0,118748214907397.0,12174185069.692871,1667106048537.3037,74.0,3.4352941176470586,12174185069.692871
